Name,Ratings,Votes
The Eric Andre Show,8.5,23K
Whose Line Is It Anyway?,8.5,48K
Regular Show,8.5,64K
Louie,8.5,84K
Sons of Anarchy,8.5,335K
Derry Girls,8.5,66K
Through the Wormhole,8.6,19K
The Office,8.5,127K
Twin Peaks,8.5,80K
Neon Genesis Evangelion,8.5,93K
Trailer Park Boys,8.5,53K
Formula 1: Drive to Survive,8.5,54K
Schitt's Creek,8.5,156K
Spartacus: Gods of the Arena,8.5,149K
Brass Eye,8.6,12K
Shameless,8.5,303K
Skam,8.6,40K
Silicon Valley,8.5,172K
My Brilliant Friend,8.6,21K
Rurouni Kenshin: Trust and Betrayal,8.6,17K
Alchemy of Souls,8.7,21K
Futurama,8.5,268K
North & South,8.6,36K
Fullmetal Alchemist,8.5,81K
The Expanse,8.5,180K
Hannibal,8.5,287K
Doctor Who,8.5,254K
Extraordinary Attorney Woo,8.6,31K
Avrupa Yakasi,8.6,22K
From the Earth to the Moon,8.6,14K
Wentworth,8.6,26K
All Creatures Great & Small,8.6,19K
Gintama,8.7,17K
Umbre,8.7,12K
Letterkenny,8.6,32K
Your Lie in April,8.5,42K
Mahabharat,9.0,13K
Foyle's War,8.6,19K
